id,manufacturer,anatomy,name,ap_filename,lateral_filename,templating_filename
zb-wagner-cone-original,Zimmer Biomet,Hip,Wagner Cone (Original),zb-wagner-cone-original-ap.jpg,zb-wagner-cone-original-lat.jpg,zb-wagner-cone-original-tmpl.jpg
zb-sirius,Zimmer Biomet,Hip,Sirius,zb-sirius-ap.jpg,zb-sirius-lat.jpg,zb-sirius-tmpl.jpg
st-triathlon,Stryker,Knee,Triathlon,st-triathlon-ap.jpg,st-triathlon-lat.jpg,st-triathlon-tmpl.jpg
st-scorpio,Stryker,Knee,Scorpio,st-scorpio-ap.jpg,st-scorpio-lat.jpg,st-scorpio-tmpl.jpg
st-accolade,Stryker,Hip,Accolade,st-accolade-ap.jpg,st-accolade-lat.jpg,st-accolade-tmpl.jpg
st-exeter,Stryker,Hip,Exeter,st-exeter-ap.jpg,st-exeter-lat.jpg,st-exeter-tmpl.jpg
st-trident,Stryker,Hip,Trident Acetabular System,st-trident-ap.jpg,st-trident-lat.jpg,st-trident-tmpl.jpg
st-restoration,Stryker,Hip,Restoration,st-restoration-ap.jpg,st-restoration-lat.jpg,st-restoration-tmpl.jpg
st-secur-fit,Stryker,Hip,Secur-Fit,st-secur-fit-ap.jpg,st-secur-fit-lat.jpg,st-secur-fit-tmpl.jpg
st-howmedica-pca-stem,Stryker,Hip,Howmedica PCA Stem,st-howmedica-pca-stem-ap.jpg,st-howmedica-pca-stem-lat.jpg,st-howmedica-pca-stem-tmpl.jpg
st-howmedica-pca-cup,Stryker,Hip,Howmedica PCA Acetabular System,st-howmedica-pca-cup-ap.jpg,st-howmedica-pca-cup-lat.jpg,st-howmedica-pca-cup-tmpl.jpg
st-insignia,Stryker,Hip,Insignia,st-insignia-ap.jpg,st-insignia-lat.jpg,st-insignia-tmpl.jpg
st-mdm,Stryker,Hip,MDM / Trident Dual Mobility,st-mdm-ap.jpg,st-mdm-lat.jpg,st-mdm-tmpl.jpg
st-gamma,Stryker,Trauma / Fracture fixation,Gamma Nail,st-gamma-ap.jpg,st-gamma-lat.jpg,st-gamma-tmpl.jpg
st-t2,Stryker,Trauma / Fracture fixation,T2 Nailing System,st-t2-ap.jpg,st-t2-lat.jpg,st-t2-tmpl.jpg
st-simpliciti,Stryker,Shoulder,Simpliciti,st-simpliciti-ap.jpg,st-simpliciti-lat.jpg,st-simpliciti-tmpl.jpg
st-aequalis,Stryker,Shoulder,Aequalis,st-aequalis-ap.jpg,st-aequalis-lat.jpg,st-aequalis-tmpl.jpg
st-omnifit,Stryker,Hip,Omnifit,st-omnifit-ap.jpg,st-omnifit-lat.jpg,st-omnifit-tmpl.jpg
st-triathlon-ts,Stryker,Knee,Triathlon TS,st-triathlon-ts-ap.jpg,st-triathlon-ts-lat.jpg,st-triathlon-ts-tmpl.jpg
st-meridian,Stryker,Hip,,st-meridian-ap.jpg,st-meridian-lat.jpg,st-meridian-tmpl.jpg
st-gmrs,Stryker,Hip,,st-gmrs-ap.jpg,st-gmrs-lat.jpg,st-gmrs-tmpl.jpg
sn-genesis-ii,Smith & Nephew,Knee,Genesis II,sn-genesis-ii-ap.jpg,sn-genesis-ii-lat.jpg,sn-genesis-ii-tmpl.jpg
sn-legion,Smith & Nephew,Knee,Legion,sn-legion-ap.jpg,sn-legion-lat.jpg,sn-legion-tmpl.jpg
sn-journey,Smith & Nephew,Knee,Journey II,sn-journey-ap.jpg,sn-journey-lat.jpg,sn-journey-tmpl.jpg
sn-polarstem,Smith & Nephew,Hip,POLARSTEM,sn-polarstem-ap.jpg,sn-polarstem-lat.jpg,sn-polarstem-tmpl.jpg
sn-bhr,Smith & Nephew,Hip,Birmingham Hip Resurfacing (BHR),sn-bhr-ap.jpg,sn-bhr-lat.jpg,sn-bhr-tmpl.jpg
sn-r3,Smith & Nephew,Hip,R3 Acetabular System,sn-r3-ap.jpg,sn-r3-lat.jpg,sn-r3-tmpl.jpg
sn-synergy,Smith & Nephew,Hip,SYNERGY,sn-synergy-ap.jpg,sn-synergy-lat.jpg,sn-synergy-tmpl.jpg
